user_id;job
1;Functional Manager
3;Director
4;Executor
5;Functional Manager
6;Executor
7;Project Manager
9;Executor
10;Executor
11;Executor
13;Director
15;Functional Manager
16;Functional Manager
18;Executor
21;Functional Manager
22;Executor
23;Functional Manager
24;Executor
25;Executor
26;Executor
27;Project Manager
29;Executor
32;Executor
37;Functional Manager
40;Executor
46;Functional Manager
47;Functional Manager
50;Executor
52;Functional Manager
59;Executor
65;Executor
66;Executor
67;Executor
69;Executor
70;Executor
74;Functional Manager
75;Executor
80;Executor
81;Executor
85;Executor
88;Executor
91;Executor
92;Executor
93;Executor
94;Executor
95;Executor
96;Functional Manager
98;Executor
99;Executor
100;Functional Manager
101;Executor
102;Executor
103;Executor
105;Executor
106;Executor
107;Executor
108;Executor
109;Executor
110;Executor
117;Executor
118;Executor
122;Executor
124;Executor
125;Executor
126;Executor
127;Executor
129;Executor
130;Executor
132;Project Manager
137;Executor
138;Functional Manager
140;Project Manager
141;Executor
145;Executor
149;Executor
153;Executor
154;Executor
155;Project Manager
156;Executor
157;Executor
158;Executor
159;Executor
160;Executor
161;Executor
163;Executor
165;Executor
166;Executor
167;Executor
168;Executor
169;Executor
171;Executor
173;Executor
174;Executor
176;Project Manager
177;Executor
178;Executor
179;Executor
180;Executor
181;Executor
183;Executor
184;Executor
186;Executor
188;Executor
189;Executor
190;Executor
191;Executor
192;Executor
193;Executor
194;Executor
196;Executor
197;Executor
198;Executor
199;Project Manager
200;Executor
201;Executor
203;Executor
204;Project Manager
205;Executor
208;Executor
209;Functional Manager
212;Executor
213;Executor
214;Functional Manager
215;Executor
216;Executor
217;Executor
218;Executor
219;Executor
221;Executor
222;Executor
223;Executor
225;Executor
226;Executor
227;Executor
228;Executor
229;Executor
230;Executor
231;Executor
232;Executor
233;Functional Manager
234;Executor
235;Executor
236;Project Office Manager
237;Functional Manager
238;Executor
239;Executor
240;Executor
241;Functional Manager
242;Executor
243;Project Office Manager
244;Functional Manager
245;Executor
246;Functional Manager
247;Executor
248;Functional Manager
249;Executor
250;Executor
251;Executor
252;Functional Manager
253;Executor
254;Executor
255;Executor
256;Executor
257;Executor
258;Executor
259;Executor
260;Executor
261;Functional Manager
262;Executor
263;Executor
264;Functional Manager
266;Executor
267;Executor
268;Functional Manager
269;Executor
270;Executor
271;Executor
272;Executor
273;Executor
274;Executor
275;Executor
276;Executor
277;Executor
278;Executor
280;Executor
281;Executor
282;Executor
283;Executor
284;Executor
285;Executor
286;Executor
287;Executor
